package	go_files	test_files	loc	imports_goja	imports_jsparse	imports_go_go_goja	used_in_go_go_goja	usage_sites
pkg	1	0	5	0	0	0	0	-
pkg/autocomplete	2	1	262	0	0	0	0	-
pkg/buttons	2	0	174	0	0	0	0	-
pkg/chat	8	0	1520	0	0	0	0	-
pkg/commandpalette	3	0	348	0	0	0	0	-
pkg/diff	11	0	1091	0	0	0	0	-
pkg/eventbus	1	0	55	0	0	0	0	-
pkg/filepicker	6	5	3336	0	0	0	0	-
pkg/listbox	2	1	268	0	0	0	0	-
pkg/logutil	1	0	29	0	0	0	0	-
pkg/mode-keymap	2	1	415	0	0	0	3	/home/manuel/workspaces/2026-02-15/use-bobatea-goja/go-go-goja/cmd/inspector/app/model.go:18;/home/manuel/workspaces/2026-02-15/use-bobatea-goja/go-go-goja/cmd/smalltalk-inspector/app/update.go:11;/home/manuel/workspaces/2026-02-15/use-bobatea-goja/go-go-goja/cmd/smalltalk-inspector/app/model.go:15
pkg/overlay	1	0	214	0	0	0	0	-
pkg/repl	35	7	5043	0	0	0	0	-
pkg/repl/evaluators	0	0	0	0	0	0	0	-
pkg/repl/evaluators/javascript	3	2	1689	1	1	1	0	-
pkg/sparkline	4	3	712	0	0	0	0	-
pkg/textarea	2	1	1828	0	0	0	0	-
pkg/textarea/memoization	2	1	364	0	0	0	0	-
pkg/timeline	6	0	812	0	0	0	0	-
pkg/timeline/chatstyle	2	0	91	0	0	0	0	-
pkg/timeline/renderers	12	0	1513	0	0	0	0	-
pkg/tui	0	0	0	0	0	0	0	-
pkg/tui/asyncprovider	3	1	128	0	0	0	0	-
pkg/tui/inputhistory	3	1	159	0	0	0	0	-
pkg/tui/widgets	0	0	0	0	0	0	0	-
pkg/tui/widgets/contextbar	4	1	477	0	0	0	0	-
pkg/tui/widgets/contextpanel	6	1	789	0	0	0	0	-
pkg/tui/widgets/suggest	6	1	924	0	0	0	0	-
