File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24.70s (116.86%)
Showing nodes accounting for -1.74s, 7.04% of 24.70s total
Dropped 9 nodes (cum <= 0.12s)
      flat  flat%   sum%        cum   cum%
    -0.63s  2.55%  2.55%     -1.22s  4.94%  runtime.scanobject
    -0.54s  2.19%  4.74%     -0.54s  2.19%  runtime.findObject
    -0.36s  1.46%  6.19%     -1.49s  6.03%  runtime.gcDrain
     0.25s  1.01%  5.18%      0.25s  1.01%  runtime.memclrNoHeapPointers
    -0.18s  0.73%  5.91%      0.32s  1.30%  runtime.mallocgcSmallScanNoHeader
    -0.17s  0.69%  6.60%     -0.17s  0.69%  runtime.(*mspan).heapBitsSmallForAddr
     0.13s  0.53%  6.07%      0.13s  0.53%  runtime.greyobject
    -0.12s  0.49%  6.56%      0.09s  0.36%  internal/runtime/maps.(*Map).growToSmall
    -0.10s   0.4%  6.96%     -0.10s   0.4%  internal/runtime/maps.(*Map).putSlotSmallFastStr
    -0.10s   0.4%  7.37%     -0.10s   0.4%  runtime.(*spanSet).pop
    -0.08s  0.32%  7.69%     -0.13s  0.53%  path.Clean
    -0.08s  0.32%  8.02%     -0.15s  0.61%  runtime.sweepone
     0.07s  0.28%  7.73%      0.07s  0.28%  runtime.(*mspan).writeHeapBitsSmall
    -0.07s  0.28%  8.02%     -0.07s  0.28%  runtime.futex
     0.06s  0.24%  7.77%     -0.11s  0.45%  github.com/dop251/goja.(*baseObject)._put
     0.06s  0.24%  7.53%      0.12s  0.49%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Swap
    -0.06s  0.24%  7.77%     -0.06s  0.24%  runtime.findfunc
    -0.05s   0.2%  7.98%     -0.05s   0.2%  aeshashbody
     0.05s   0.2%  7.77%      0.19s  0.77%  github.com/dop251/goja.(*templatedObject).getOwnPropStr
     0.05s   0.2%  7.57%      0.05s   0.2%  github.com/dop251/goja/unistring.Scan
     0.05s   0.2%  7.37%      0.38s  1.54%  github.com/dop251/goja_nodejs/require.(*RequireModule).createModuleObject
    -0.05s   0.2%  7.57%      0.53s  2.15%  github.com/dop251/goja_nodejs/require.(*RequireModule).loadNative
     0.05s   0.2%  7.37%      0.12s  0.49%  runtime.(*mheap).allocSpan
     0.05s   0.2%  7.17%      0.01s  0.04%  runtime.(*sweepLocked).sweep
     0.05s   0.2%  6.96%     -0.02s 0.081%  runtime.mallocgcSmallScanHeader
    -0.05s   0.2%  7.17%     -0.03s  0.12%  runtime.mallocgcTiny
     0.05s   0.2%  6.96%      0.12s  0.49%  runtime.mapaccess1_faststr
    -0.04s  0.16%  7.13%     -0.05s   0.2%  github.com/dop251/goja.(*vm).try.deferwrap1
     0.04s  0.16%  6.96%      0.04s  0.16%  github.com/dop251/goja.copyNamesIfNeeded
    -0.04s  0.16%  7.13%     -8.09s 32.75%  github.com/go-go-golems/go-go-goja/perf/goja_test.newRuntimeNoCallLog
     0.04s  0.16%  6.96%     -0.02s 0.081%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.04s  0.16%  6.80%      0.04s  0.16%  runtime.(*activeSweep).end
    -0.04s  0.16%  6.96%     -0.04s  0.16%  runtime.gcmarknewobject
     0.04s  0.16%  6.80%      0.01s  0.04%  runtime.mapassign_faststr
     0.04s  0.16%  6.64%      0.04s  0.16%  runtime.publicationBarrier
    -0.03s  0.12%  6.76%      0.03s  0.12%  github.com/dop251/goja.(*baseFuncObject).init
     0.03s  0.12%  6.64%      0.59s  2.39%  github.com/dop251/goja_nodejs/require.Require
