File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24700ms (116.86%)
Showing nodes accounting for 0, 6.5e-07% of 24700ms total
      flat  flat%   sum%        cum   cum%
  330.70ms  1.34%  1.34%   331.42ms  1.34%  runtime.greyobject
 -324.71ms  1.31% 0.024%  -324.71ms  1.31%  runtime.findObject
  308.38ms  1.25%  1.27%   308.38ms  1.25%  runtime.memclrNoHeapPointers
 -299.43ms  1.21% 0.061%  -449.30ms  1.82%  runtime.gcDrain
 -233.72ms  0.95%  0.89%  -248.64ms  1.01%  runtime.scanobject
  112.33ms  0.45%  0.43%   112.33ms  0.45%  runtime.(*mspan).writeHeapBitsSmall
 -107.75ms  0.44%  0.87%   543.32ms  2.20%  runtime.mallocgcSmallScanNoHeader
 -100.30ms  0.41%  1.27%   174.66ms  0.71%  internal/runtime/maps.(*Map).growToSmall
  -97.08ms  0.39%  1.67%   -95.62ms  0.39%  internal/runtime/maps.(*Map).putSlotSmallFastStr
  -97.08ms  0.39%  2.06%   -97.08ms  0.39%  runtime.(*spanSet).pop
   90.87ms  0.37%  1.69%    24.52ms 0.099%  runtime.mallocgcSmallScanHeader
  -86.80ms  0.35%  2.04%   -86.80ms  0.35%  runtime.(*mspan).heapBitsSmallForAddr
   78.25ms  0.32%  1.73%      147ms   0.6%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Swap
  -77.81ms  0.32%  2.04%  -120.81ms  0.49%  runtime.sweepone
  -77.08ms  0.31%  2.35%  -124.89ms  0.51%  path.Clean
   74.22ms   0.3%  2.05%    74.22ms   0.3%  runtime.typePointers.next
   68.97ms  0.28%  1.77%    68.97ms  0.28%  github.com/dop251/goja/unistring.Scan
  -68.54ms  0.28%  2.05%   -68.54ms  0.28%  runtime.futex
   66.57ms  0.27%  1.78%    -8.56ms 0.035%  github.com/dop251/goja.(*baseObject)._put
   61.68ms  0.25%  1.53%    31.16ms  0.13%  runtime.(*sweepLocked).sweep
   60.22ms  0.24%  1.29%   458.82ms  1.86%  github.com/dop251/goja_nodejs/require.(*RequireModule).createModuleObject
   57.30ms  0.23%  1.06%   138.97ms  0.56%  runtime.mapaccess1_faststr
  -57.08ms  0.23%  1.29%   -57.08ms  0.23%  runtime.findfunc
   55.11ms  0.22%  1.06%   211.16ms  0.85%  github.com/dop251/goja.(*templatedObject).getOwnPropStr
   53.65ms  0.22%  0.85%   134.60ms  0.54%  runtime.(*mheap).allocSpan
   50.22ms   0.2%  0.64%    -5.40ms 0.022%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
   49.49ms   0.2%  0.44%   114.36ms  0.46%  runtime.mapassign_faststr
