+---------+-------------------------------------------------------------+----------------------------------+--------+-------+----------------+-------+-----------+----------------+--------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------+----------+-----------------+------------------------------------+------------------------------------+----------------+--------------------+------------------------------------------+-------------+
| attempt | pr                                                          | repository                       | number | ok    | state          | ready | not_ready | codex_feedback | failed_checks                                                                                                                        | merge_conflicts | errors | terminal | terminal_reason | next_action                        | failed_check_kinds                 | pending_checks | merge_state_status | head_ref_oid                             | trigger_url |
+---------+-------------------------------------------------------------+----------------------------------+--------+-------+----------------+-------+-----------+----------------+--------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------+----------+-----------------+------------------------------------+------------------------------------+----------------+--------------------+------------------------------------------+-------------+
| 1       | https://github.com/go-go-golems/plz-confirm/pull/13         | go-go-golems/plz-confirm         | 13     | false | failed_checks  |       |           |                | goreleaser-linux: conclusion=FAILURE,lint: conclusion=FAILURE,lint: conclusion=FAILURE,goreleaser-darwin: conclusion=FAILURE         |                 |        | true     | failed_checks   | inspect_and_fix_failed_checks      | checks,lint                        |                | UNSTABLE           | 9dbaed9c0574f95e7a12b9f786eb5ed2cf036b24 |             |
| 1       | https://github.com/go-go-golems/go-go-os-chat/pull/2        | go-go-golems/go-go-os-chat       | 2      | false | waiting_codex  |       |           |                |                                                                                                                                      |                 |        | false    |                 | wait_for_codex                     |                                    |                | CLEAN              | 5ad1e5259c2a247cd1ee818751b6f6c794375875 |             |
| 1       | https://github.com/go-go-golems/go-go-app-inventory/pull/17 | go-go-golems/go-go-app-inventory | 17     | false | failed_checks  |       |           |                | Go Vulnerability Check: conclusion=FAILURE                                                                                           |                 |        | true     | failed_checks   | inspect_and_fix_failed_checks      | checks,govulncheck                 |                | UNSTABLE           | 0fa6f5e80d35ebfd43f550da93ff9f6e88f059a5 |             |
| 1       | https://github.com/go-go-golems/smailnail/pull/5            | go-go-golems/smailnail           | 5      | false | failed_checks  |       |           |                | lint: conclusion=FAILURE,Go Vulnerability Check: conclusion=FAILURE                                                                  |                 |        | true     | failed_checks   | inspect_and_fix_failed_checks      | checks,govulncheck,lint            |                | UNSTABLE           | e3f1a39ad8930d4469331cd48bf37b0e3ca52f0a |             |
| 1       | https://github.com/go-go-golems/vm-system/pull/4            | go-go-golems/vm-system           | 4      | false | waiting_codex  |       |           |                |                                                                                                                                      |                 |        | false    |                 | wait_for_codex                     |                                    |                | CLEAN              | 951898a5450edaa2e315ff5f5cecb95bd730de33 |             |
| 1       | https://github.com/go-go-golems/go-go-os-backend/pull/7     | go-go-golems/go-go-os-backend    | 7      | false | codex_feedback |       |           |                |                                                                                                                                      |                 |        | true     | codex_feedback  | inspect_and_address_codex_feedback |                                    |                | CLEAN              | 743245db89e99a1e0d9c299217606992d2e947ff |             |
| 1       | https://github.com/go-go-golems/go-go-host/pull/4           | go-go-golems/go-go-host          | 4      | false | failed_checks  |       |           |                | Go Vulnerability Check: conclusion=FAILURE                                                                                           |                 |        | true     | failed_checks   | inspect_and_fix_failed_checks      | checks,govulncheck                 |                | UNSTABLE           | 72959e34efdee0c2b13ba819c044b4375403fbd0 |             |
| 1       | https://github.com/go-go-golems/pinocchio/pull/172          | go-go-golems/pinocchio           | 172    | false | no_codex       |       |           |                |                                                                                                                                      |                 |        | false    |                 | trigger_codex_review               |                                    |                | CLEAN              | 3dbc75ee6e5fbd943ca1b9bb20a7e9f8d2130a0c |             |
| 1       | https://github.com/go-go-golems/workspace-manager/pull/24   | go-go-golems/workspace-manager   | 24     | false | failed_checks  |       |           |                | Go Vulnerability Check: conclusion=FAILURE                                                                                           |                 |        | true     | failed_checks   | inspect_and_fix_failed_checks      | checks,govulncheck                 |                | UNSTABLE           | 3ef07ffb36bdb3b52db02b4edf1d8780904733a8 |             |
